Instrument Type,QuantStudio(TM) 7 Flex System,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Analysis is performed,"Stage 4, Step 2",,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,Seth Goodnight,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,Y-Intercept,R(superscript 2),Slope,Efficiency,Amp Score,Cq Conf,NOAMP,EXPFAIL,THOLDFAIL
1,A1,FALSE,eq02441467.1,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.08,TRUE,1,40,,,,,,0,0,Y,Y,N
2,A2,FALSE,eq02441467.1,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.183,TRUE,1,40,,,,,,0,0,Y,Y,N
3,A3,FALSE,eq02441467.1,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.16,TRUE,1,40,,,,,,0.882,0,N,N,N
4,A4,FALSE,eq02441467.1,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,Y,Y
5,A5,FALSE,eq02441467.1,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.105,TRUE,1,40,,,,,,0,0,N,Y,N
6,A6,FALSE,eq02441467.1,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,Y,Y,Y
7,A7,FALSE,eq02441467.1,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,N,Y
8,A8,FALSE,eq02441467.1,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.603,27.603,,,,,TRUE,0.127,TRUE,1,40,,,,,,1.207,0.983,N,N,N
9,A9,FALSE,eq02440749.3,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,37.264,37.264,,,,,TRUE,0.08,TRUE,1,40,,,,,,0.996,0.825,N,N,N
10,A10,FALSE,eq02440749.3,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.183,TRUE,1,40,,,,,,0,0,Y,Y,N
11,A11,FALSE,eq02440749.3,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.16,TRUE,1,40,,,,,,0,0,N,Y,N
12,A12,FALSE,eq02440749.3,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,Y,Y
13,A13,FALSE,eq02440749.3,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.105,TRUE,1,40,,,,,,0,0,Y,Y,N
14,A14,FALSE,eq02440749.3,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,Y,N,Y
15,A15,FALSE,eq02440749.3,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,Y,Y
16,A16,FALSE,eq02440749.3,Extraction Control,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.127,TRUE,1,40,,,,,,0,0,N,N,N
17,A17,FALSE,ALHT Deer_145.2,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.08,TRUE,1,40,,,,,,0.389,0,N,Y,N
18,A18,FALSE,ALHT Deer_145.2,B. microti,UNKNOWN,FAM,NFQ-MGB,36.595,36.595,,,,,TRUE,0.183,TRUE,1,40,,,,,,1.214,0.969,N,N,N
19,A19,FALSE,ALHT Deer_145.2,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.16,TRUE,1,40,,,,,,0.813,0,N,N,N
20,A20,FALSE,ALHT Deer_145.2,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,Y,Y
21,A21,FALSE,ALHT Deer_145.2,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.105,TRUE,1,40,,,,,,0,0,Y,Y,N
22,A22,FALSE,ALHT Deer_145.2,E. muris,UNKNOWN,FAM,NFQ-MGB,35.985,35.985,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,Y,N,Y
23,A23,FALSE,ALHT Deer_145.2,Powassan virus,UNKNOWN,FAM,NFQ-MGB,34.674,34.674,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0.118,N,N,Y
24,A24,FALSE,ALHT Deer_145.2,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.7,27.7,,,,,TRUE,0.127,TRUE,1,40,,,,,,1.197,0.987,N,N,N
25,B1,FALSE,eq02440774,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,23.532,23.532,,,,,TRUE,0.08,TRUE,1,40,,,,,,1.315,0.949,N,N,N
26,B2,FALSE,eq02440774,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.183,TRUE,1,40,,,,,,0,0,Y,Y,N
27,B3,FALSE,eq02440774,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,30.157,30.157,,,,,TRUE,0.16,TRUE,1,40,,,,,,1.279,0.961,N,N,N
28,B4,FALSE,eq02440774,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,Y,Y
29,B5,FALSE,eq02440774,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.105,TRUE,1,40,,,,,,0,0,Y,Y,N
30,B6,FALSE,eq02440774,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,Y,Y,Y
31,B7,FALSE,eq02440774,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,Y,Y
32,B8,FALSE,eq02440774,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.636,27.636,,,,,TRUE,0.127,TRUE,1,40,,,,,,1.206,0.976,N,N,N
33,B9,FALSE,ALHT Deer_141.1,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.08,TRUE,1,40,,,,,,0,0,N,Y,N
34,B10,FALSE,ALHT Deer_141.1,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.183,TRUE,1,40,,,,,,0,0,Y,Y,N
35,B11,FALSE,ALHT Deer_141.1,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.16,TRUE,1,40,,,,,,0,0,N,Y,N
36,B12,FALSE,ALHT Deer_141.1,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,Y,Y
37,B13,FALSE,ALHT Deer_141.1,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.105,TRUE,1,40,,,,,,0,0,Y,Y,N
38,B14,FALSE,ALHT Deer_141.1,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,Y,Y,Y
39,B15,FALSE,ALHT Deer_141.1,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,Y,Y
40,B16,FALSE,ALHT Deer_141.1,Extraction Control,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.127,TRUE,1,40,,,,,,0,0,N,N,N
41,B17,FALSE,ALHT Deer_147.3,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.08,TRUE,1,40,,,,,,0.34,0,N,Y,N
42,B18,FALSE,ALHT Deer_147.3,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.183,TRUE,1,40,,,,,,0,0,Y,Y,N
43,B19,FALSE,ALHT Deer_147.3,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.16,TRUE,1,40,,,,,,0,0,N,Y,N
44,B20,FALSE,ALHT Deer_147.3,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,Y,Y
45,B21,FALSE,ALHT Deer_147.3,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.105,TRUE,1,40,,,,,,0,0,Y,Y,N
46,B22,FALSE,ALHT Deer_147.3,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,Y,Y,Y
47,B23,FALSE,ALHT Deer_147.3,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0.439,0,N,N,Y
48,B24,FALSE,ALHT Deer_147.3,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.892,27.892,,,,,TRUE,0.127,TRUE,1,40,,,,,,1.197,0.984,N,N,N
49,C1,FALSE,eq02441467.2,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.08,TRUE,1,40,,,,,,0,0,N,Y,N
50,C2,FALSE,eq02441467.2,B. microti,UNKNOWN,FAM,NFQ-MGB,37.497,37.497,,,,,TRUE,0.183,TRUE,1,40,,,,,,1.138,0.923,N,N,N
51,C3,FALSE,eq02441467.2,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.16,TRUE,1,40,,,,,,0,0,Y,Y,N
52,C4,FALSE,eq02441467.2,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,Y,Y
53,C5,FALSE,eq02441467.2,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.105,TRUE,1,40,,,,,,0,0,Y,Y,N
54,C6,FALSE,eq02441467.2,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,Y,Y,Y
55,C7,FALSE,eq02441467.2,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,N,Y
56,C8,FALSE,eq02441467.2,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.836,27.836,,,,,TRUE,0.127,TRUE,1,40,,,,,,1.208,0.982,N,N,N
57,C9,FALSE,eq02440749.4,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.08,TRUE,1,40,,,,,,0,0,N,Y,N
58,C10,FALSE,eq02440749.4,B. microti,UNKNOWN,FAM,NFQ-MGB,28.743,28.743,,,,,TRUE,0.183,TRUE,1,40,,,,,,1.433,0.988,N,N,N
59,C11,FALSE,eq02440749.4,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,31.977,31.977,,,,,TRUE,0.16,TRUE,1,40,,,,,,1.277,0.95,N,N,N
60,C12,FALSE,eq02440749.4,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,Y,Y
61,C13,FALSE,eq02440749.4,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.105,TRUE,1,40,,,,,,0,0,Y,Y,N
62,C14,FALSE,eq02440749.4,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,Y,Y,Y
63,C15,FALSE,eq02440749.4,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,Y,Y
64,C16,FALSE,eq02440749.4,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.675,27.675,,,,,TRUE,0.127,TRUE,1,40,,,,,,1.21,0.97,N,N,N
65,C17,FALSE,ALHT Deer_145.3,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.08,TRUE,1,40,,,,,,0,0,N,Y,N
66,C18,FALSE,ALHT Deer_145.3,B. microti,UNKNOWN,FAM,NFQ-MGB,34.492,34.492,,,,,TRUE,0.183,TRUE,1,40,,,,,,1.376,0.971,N,N,N
67,C19,FALSE,ALHT Deer_145.3,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.16,TRUE,1,40,,,,,,0,0,N,Y,N
68,C20,FALSE,ALHT Deer_145.3,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,Y,Y
69,C21,FALSE,ALHT Deer_145.3,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.105,TRUE,1,40,,,,,,0,0,Y,Y,N
70,C22,FALSE,ALHT Deer_145.3,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,Y,Y,Y
71,C23,FALSE,ALHT Deer_145.3,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0.377,0,N,Y,Y
72,C24,FALSE,ALHT Deer_145.3,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.77,27.77,,,,,TRUE,0.127,TRUE,1,40,,,,,,1.199,0.967,N,N,N
73,D1,FALSE,eq02440768,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,31.71,31.71,,,,,TRUE,0.08,TRUE,1,40,,,,,,1.324,0.973,N,N,N
74,D2,FALSE,eq02440768,B. microti,UNKNOWN,FAM,NFQ-MGB,26.02,26.02,,,,,TRUE,0.183,TRUE,1,40,,,,,,1.432,0.988,N,N,N
75,D3,FALSE,eq02440768,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,35.313,35.313,,,,,TRUE,0.16,TRUE,1,40,,,,,,1.25,0.937,N,N,N
76,D4,FALSE,eq02440768,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,Y,Y,Y
77,D5,FALSE,eq02440768,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.105,TRUE,1,40,,,,,,0,0,Y,Y,N
78,D6,FALSE,eq02440768,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0.386,0,Y,Y,Y
79,D7,FALSE,eq02440768,Powassan virus,UNKNOWN,FAM,NFQ-MGB,15.084,15.084,,,,,TRUE,0.04,TRUE,1,40,,,,,,0.592,0,N,N,Y
80,D8,FALSE,eq02440768,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.755,27.755,,,,,TRUE,0.127,TRUE,1,40,,,,,,1.205,0.978,N,N,N
81,D9,FALSE,ALHT Deer_141.2,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.08,TRUE,1,40,,,,,,0,0,Y,Y,N
82,D10,FALSE,ALHT Deer_141.2,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.183,TRUE,1,40,,,,,,0,0,Y,Y,N
83,D11,FALSE,ALHT Deer_141.2,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.16,TRUE,1,40,,,,,,0,0,N,N,N
84,D12,FALSE,ALHT Deer_141.2,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,Y,Y
85,D13,FALSE,ALHT Deer_141.2,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.105,TRUE,1,40,,,,,,0,0,Y,Y,N
86,D14,FALSE,ALHT Deer_141.2,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,Y,Y,Y
87,D15,FALSE,ALHT Deer_141.2,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,N,Y
88,D16,FALSE,ALHT Deer_141.2,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.732,27.732,,,,,TRUE,0.127,TRUE,1,40,,,,,,1.209,0.986,N,N,N
89,D17,FALSE,ALHT Deer_147.4,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.08,TRUE,1,40,,,,,,0,0,N,Y,N
90,D18,FALSE,ALHT Deer_147.4,B. microti,UNKNOWN,FAM,NFQ-MGB,25.927,25.927,,,,,TRUE,0.183,TRUE,1,40,,,,,,1.434,0.992,N,N,N
91,D19,FALSE,ALHT Deer_147.4,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.16,TRUE,1,40,,,,,,0,0,N,Y,N
92,D20,FALSE,ALHT Deer_147.4,B. mayonii,UNKNOWN,FAM,NFQ-MGB,19.187,19.187,,,,,TRUE,0.04,TRUE,1,40,,,,,,0.416,0.015,N,N,Y
93,D21,FALSE,ALHT Deer_147.4,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.105,TRUE,1,40,,,,,,0,0,Y,Y,N
94,D22,FALSE,ALHT Deer_147.4,E. muris,UNKNOWN,FAM,NFQ-MGB,39.739,39.739,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,Y,N,Y
95,D23,FALSE,ALHT Deer_147.4,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0.42,0,N,N,Y
96,D24,FALSE,ALHT Deer_147.4,Extraction Control,UNKNOWN,FAM,NFQ-MGB,28.099,28.099,,,,,TRUE,0.127,TRUE,1,40,,,,,,1.19,0.972,N,N,N
97,E1,FALSE,eq02441467.3,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.08,TRUE,1,40,,,,,,0,0,N,N,N
98,E2,FALSE,eq02441467.3,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.183,TRUE,1,40,,,,,,0,0,Y,Y,N
99,E3,FALSE,eq02441467.3,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.16,TRUE,1,40,,,,,,0,0,N,Y,N
100,E4,FALSE,eq02441467.3,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,N,Y
101,E5,FALSE,eq02441467.3,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.105,TRUE,1,40,,,,,,0,0,Y,Y,N
102,E6,FALSE,eq02441467.3,E. muris,UNKNOWN,FAM,NFQ-MGB,27.306,27.306,,,,,TRUE,0.04,TRUE,1,40,,,,,,0.383,0.098,Y,N,Y
103,E7,FALSE,eq02441467.3,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,N,Y
104,E8,FALSE,eq02441467.3,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.847,27.847,,,,,TRUE,0.127,TRUE,1,40,,,,,,1.205,0.987,N,N,N
105,E9,FALSE,eq02440624,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,34.353,34.353,,,,,TRUE,0.08,TRUE,1,40,,,,,,1.259,0.92,N,N,N
106,E10,FALSE,eq02440624,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.183,TRUE,1,40,,,,,,0,0,Y,Y,N
107,E11,FALSE,eq02440624,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,38.74,38.74,,,,,TRUE,0.16,TRUE,1,40,,,,,,0.99,0.224,N,N,N
108,E12,FALSE,eq02440624,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,Y,Y,Y
109,E13,FALSE,eq02440624,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.105,TRUE,1,40,,,,,,0,0,Y,Y,N
110,E14,FALSE,eq02440624,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,Y,Y,Y
111,E15,FALSE,eq02440624,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,Y,Y
112,E16,FALSE,eq02440624,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.639,27.639,,,,,TRUE,0.127,TRUE,1,40,,,,,,1.21,0.984,N,N,N
113,E17,FALSE,ALHT Deer_145.4,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,22.413,22.413,,,,,TRUE,0.08,TRUE,1,40,,,,,,1.324,0.924,N,N,N
114,E18,FALSE,ALHT Deer_145.4,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.183,TRUE,1,40,,,,,,0,0,Y,Y,N
115,E19,FALSE,ALHT Deer_145.4,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.16,TRUE,1,40,,,,,,0.723,0,N,N,N
116,E20,FALSE,ALHT Deer_145.4,B. mayonii,UNKNOWN,FAM,NFQ-MGB,17.824,17.824,,,,,TRUE,0.04,TRUE,1,40,,,,,,0.353,0.211,N,N,Y
117,E21,FALSE,ALHT Deer_145.4,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.105,TRUE,1,40,,,,,,0,0,Y,Y,N
118,E22,FALSE,ALHT Deer_145.4,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,Y,Y,Y
119,E23,FALSE,ALHT Deer_145.4,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.04,TRUE,1,40,,,,,,0,0,N,N,Y
120,E24,FALSE,ALHT Deer_145.4,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.854,27.854,,,,,TRUE,0.127,TRUE,1,40,,,,,,1.197,0.974,N,N,N
121,F1,FALSE,eq02440649,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.08,TRUE,1,40,,,,,,0,0,N,Y,N
122,F2,FALSE,eq02440649,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.183,TRUE,1,40,,,,,,0,0,Y,Y,N
123,F3,FALSE,eq02440649,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.16,TRUE,1,40,,,,,,0.246,0,N,N,N
