Instrument Serial Number,278870712,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio(TM) 7 Flex System,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Analysis is performed,"Stage 4, Step 2",,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,Erin,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,Y-Intercept,R(superscript 2),Slope,Efficiency,Amp Score,Cq Conf,NOAMP,EXPFAIL,THOLDFAIL
1,A1,false,TB_90024119,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.165,true,1,40,,,,,,0.000,0.000,Y,Y,N
2,A2,false,TB_90024119,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.227,true,1,40,,,,,,0.000,0.000,Y,Y,N
3,A3,false,TB_90024119,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
4,A4,false,TB_90024119,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
5,A5,false,TB_90024119,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.175,true,1,40,,,,,,0.000,0.000,Y,Y,N
6,A6,false,TB_90024119,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
7,A7,false,TB_90024119,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
8,A8,false,TB_90024119,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.250,27.250,,,,,true,0.073,true,1,40,,,,,,1.113,0.983,N,N,N
9,A9,false,TB_90024107,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.165,true,1,40,,,,,,0.000,0.000,N,Y,N
10,A10,false,TB_90024107,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.227,true,1,40,,,,,,0.000,0.000,Y,Y,N
11,A11,false,TB_90024107,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
12,A12,false,TB_90024107,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
13,A13,false,TB_90024107,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.175,true,1,40,,,,,,0.000,0.000,Y,Y,N
14,A14,false,TB_90024107,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
15,A15,false,TB_90024107,Powassan virus,UNKNOWN,FAM,NFQ-MGB,18.901,18.901,,,,,true,0.040,true,1,40,,,,,,0.520,0.389,N,N,Y
16,A16,false,TB_90024107,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.030,27.030,,,,,true,0.073,true,1,40,,,,,,1.102,0.977,N,N,N
17,A17,false,ALHT Deer_39,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,32.064,32.064,,,,,true,0.165,true,1,40,,,,,,1.364,0.970,N,N,N
18,A18,false,ALHT Deer_39,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.227,true,1,40,,,,,,0.000,0.000,Y,Y,N
19,A19,false,ALHT Deer_39,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,N,Y
20,A20,false,ALHT Deer_39,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
21,A21,false,ALHT Deer_39,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.175,true,1,40,,,,,,0.000,0.000,Y,N,N
22,A22,false,ALHT Deer_39,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
23,A23,false,ALHT Deer_39,Powassan virus,UNKNOWN,FAM,NFQ-MGB,34.248,34.248,,,,,true,0.040,true,1,40,,,,,,0.277,0.000,N,N,Y
24,A24,false,ALHT Deer_39,Extraction Control,UNKNOWN,FAM,NFQ-MGB,26.549,26.549,,,,,true,0.073,true,1,40,,,,,,1.258,0.989,N,N,N
25,B1,false,ALHT Deer_99,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.165,true,1,40,,,,,,0.000,0.000,Y,Y,N
26,B2,false,ALHT Deer_99,B. microti,UNKNOWN,FAM,NFQ-MGB,33.612,33.612,,,,,true,0.227,true,1,40,,,,,,1.400,0.984,N,N,N
27,B3,false,ALHT Deer_99,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
28,B4,false,ALHT Deer_99,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
29,B5,false,ALHT Deer_99,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.175,true,1,40,,,,,,0.000,0.000,Y,Y,N
30,B6,false,ALHT Deer_99,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
31,B7,false,ALHT Deer_99,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
32,B8,false,ALHT Deer_99,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.239,27.239,,,,,true,0.073,true,1,40,,,,,,1.115,0.985,N,N,N
33,B9,false,ALHT Deer_26,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,33.564,33.564,,,,,true,0.165,true,1,40,,,,,,1.305,0.965,N,N,N
34,B10,false,ALHT Deer_26,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.227,true,1,40,,,,,,0.000,0.000,Y,Y,N
35,B11,false,ALHT Deer_26,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,27.900,27.900,,,,,true,0.040,true,1,40,,,,,,1.074,0.967,N,N,Y
36,B12,false,ALHT Deer_26,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
37,B13,false,ALHT Deer_26,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.175,true,1,40,,,,,,0.000,0.000,Y,Y,N
38,B14,false,ALHT Deer_26,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
39,B15,false,ALHT Deer_26,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.311,0.000,N,N,Y
40,B16,false,ALHT Deer_26,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.273,27.273,,,,,true,0.073,true,1,40,,,,,,1.111,0.977,N,N,N
41,B17,false,ALHT Deer_59,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,30.391,30.391,,,,,true,0.165,true,1,40,,,,,,1.394,0.970,N,N,N
42,B18,false,ALHT Deer_59,B. microti,UNKNOWN,FAM,NFQ-MGB,17.338,17.338,,,,,true,0.227,true,1,40,,,,,,1.438,0.990,N,N,N
43,B19,false,ALHT Deer_59,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,28.834,28.834,,,,,true,0.040,true,1,40,,,,,,1.431,0.902,N,N,Y
44,B20,false,ALHT Deer_59,B. mayonii,UNKNOWN,FAM,NFQ-MGB,22.320,22.320,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,N,Y
45,B21,false,ALHT Deer_59,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,23.050,23.050,,,,,true,0.175,true,1,40,,,,,,1.411,0.989,N,N,N
46,B22,false,ALHT Deer_59,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
47,B23,false,ALHT Deer_59,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
48,B24,false,ALHT Deer_59,Extraction Control,UNKNOWN,FAM,NFQ-MGB,26.582,26.582,,,,,true,0.073,true,1,40,,,,,,1.268,0.989,N,N,N
49,C1,false,TB_90024082,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.165,true,1,40,,,,,,0.868,0.000,N,N,N
50,C2,false,TB_90024082,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.227,true,1,40,,,,,,0.000,0.000,Y,Y,N
51,C3,false,TB_90024082,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
52,C4,false,TB_90024082,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
53,C5,false,TB_90024082,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.175,true,1,40,,,,,,0.000,0.000,Y,Y,N
54,C6,false,TB_90024082,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
55,C7,false,TB_90024082,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
56,C8,false,TB_90024082,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.408,27.408,,,,,true,0.073,true,1,40,,,,,,1.112,0.981,N,N,N
57,C9,false,ALHT Deer_25,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.165,true,1,40,,,,,,0.000,0.000,N,Y,N
58,C10,false,ALHT Deer_25,B. microti,UNKNOWN,FAM,NFQ-MGB,37.907,37.907,,,,,true,0.227,true,1,40,,,,,,1.184,0.934,N,N,N
59,C11,false,ALHT Deer_25,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
60,C12,false,ALHT Deer_25,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
61,C13,false,ALHT Deer_25,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.175,true,1,40,,,,,,0.000,0.000,Y,Y,N
62,C14,false,ALHT Deer_25,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
63,C15,false,ALHT Deer_25,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.611,0.000,N,Y,Y
64,C16,false,ALHT Deer_25,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.259,27.259,,,,,true,0.073,true,1,40,,,,,,1.112,0.973,N,N,N
65,C17,false,ALHT Deer_43,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.165,true,1,40,,,,,,0.000,0.000,N,Y,N
66,C18,false,ALHT Deer_43,B. microti,UNKNOWN,FAM,NFQ-MGB,28.652,28.652,,,,,true,0.227,true,1,40,,,,,,1.443,0.990,N,N,N
67,C19,false,ALHT Deer_43,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,7.485,7.485,,,,,true,0.040,true,1,40,,,,,,0.609,0.155,N,N,Y
68,C20,false,ALHT Deer_43,B. mayonii,UNKNOWN,FAM,NFQ-MGB,8.274,8.274,,,,,true,0.040,true,1,40,,,,,,0.340,0.000,N,N,Y
69,C21,false,ALHT Deer_43,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.175,true,1,40,,,,,,0.000,0.000,N,Y,N
70,C22,false,ALHT Deer_43,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
71,C23,false,ALHT Deer_43,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
72,C24,false,ALHT Deer_43,Extraction Control,UNKNOWN,FAM,NFQ-MGB,26.649,26.649,,,,,true,0.073,true,1,40,,,,,,1.268,0.987,N,N,N
73,D1,false,TB_90024102,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,36.100,36.100,,,,,true,0.165,true,1,40,,,,,,0.976,0.888,N,N,N
74,D2,false,TB_90024102,B. microti,UNKNOWN,FAM,NFQ-MGB,36.288,36.288,,,,,true,0.227,true,1,40,,,,,,1.306,0.976,N,N,N
75,D3,false,TB_90024102,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
76,D4,false,TB_90024102,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
77,D5,false,TB_90024102,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.175,true,1,40,,,,,,0.000,0.000,Y,Y,N
78,D6,false,TB_90024102,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
79,D7,false,TB_90024102,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
80,D8,false,TB_90024102,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.294,27.294,,,,,true,0.073,true,1,40,,,,,,1.113,0.973,N,N,N
81,D9,false,ALHT Deer_83,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,32.131,32.131,,,,,true,0.165,true,1,40,,,,,,1.342,0.973,N,N,N
82,D10,false,ALHT Deer_83,B. microti,UNKNOWN,FAM,NFQ-MGB,38.772,38.772,,,,,true,0.227,true,1,40,,,,,,1.097,0.279,N,N,N
83,D11,false,ALHT Deer_83,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
84,D12,false,ALHT Deer_83,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
85,D13,false,ALHT Deer_83,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,30.152,30.152,,,,,true,0.175,true,1,40,,,,,,1.304,0.980,N,N,N
86,D14,false,ALHT Deer_83,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
87,D15,false,ALHT Deer_83,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.506,0.000,N,N,Y
88,D16,false,ALHT Deer_83,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.419,27.419,,,,,true,0.073,true,1,40,,,,,,1.121,0.981,N,N,N
89,D17,false,ALHT Deer_75.1,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,27.479,27.479,,,,,true,0.165,true,1,40,,,,,,1.384,0.969,N,N,N
90,D18,false,ALHT Deer_75.1,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.227,true,1,40,,,,,,0.000,0.000,Y,Y,N
91,D19,false,ALHT Deer_75.1,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
92,D20,false,ALHT Deer_75.1,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.420,0.000,N,Y,Y
93,D21,false,ALHT Deer_75.1,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.175,true,1,40,,,,,,0.000,0.000,N,Y,N
94,D22,false,ALHT Deer_75.1,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
95,D23,false,ALHT Deer_75.1,Powassan virus,UNKNOWN,FAM,NFQ-MGB,35.276,35.276,,,,,true,0.040,true,1,40,,,,,,0.540,0.000,N,N,Y
96,D24,false,ALHT Deer_75.1,Extraction Control,UNKNOWN,FAM,NFQ-MGB,26.588,26.588,,,,,true,0.073,true,1,40,,,,,,1.265,0.988,N,N,N
97,E1,false,ALHT Deer_107,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,34.713,34.713,,,,,true,0.165,true,1,40,,,,,,0.977,0.927,N,N,N
98,E2,false,ALHT Deer_107,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.227,true,1,40,,,,,,0.000,0.000,Y,Y,N
99,E3,false,ALHT Deer_107,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
100,E4,false,ALHT Deer_107,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
101,E5,false,ALHT Deer_107,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.175,true,1,40,,,,,,0.000,0.000,Y,Y,N
102,E6,false,ALHT Deer_107,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
103,E7,false,ALHT Deer_107,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
104,E8,false,ALHT Deer_107,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.218,27.218,,,,,true,0.073,true,1,40,,,,,,1.115,0.980,N,N,N
105,E9,false,ALHT Deer_45,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,25.812,25.812,,,,,true,0.165,true,1,40,,,,,,1.352,0.979,N,N,N
106,E10,false,ALHT Deer_45,B. microti,UNKNOWN,FAM,NFQ-MGB,36.668,36.668,,,,,true,0.227,true,1,40,,,,,,1.282,0.970,N,N,N
107,E11,false,ALHT Deer_45,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,31.432,31.432,,,,,true,0.040,true,1,40,,,,,,1.202,0.928,N,N,Y
108,E12,false,ALHT Deer_45,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
109,E13,false,ALHT Deer_45,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.175,true,1,40,,,,,,0.000,0.000,Y,Y,N
110,E14,false,ALHT Deer_45,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
111,E15,false,ALHT Deer_45,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.552,0.000,N,N,Y
112,E16,false,ALHT Deer_45,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.306,27.306,,,,,true,0.073,true,1,40,,,,,,1.127,0.980,N,N,N
113,E17,false,ALHT Deer_87,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,32.184,32.184,,,,,true,0.165,true,1,40,,,,,,1.368,0.965,N,N,N
114,E18,false,ALHT Deer_87,B. microti,UNKNOWN,FAM,NFQ-MGB,29.043,29.043,,,,,true,0.227,true,1,40,,,,,,1.438,0.988,N,N,N
115,E19,false,ALHT Deer_87,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.528,0.000,N,Y,Y
116,E20,false,ALHT Deer_87,B. mayonii,UNKNOWN,FAM,NFQ-MGB,21.108,21.108,,,,,true,0.040,true,1,40,,,,,,0.000,0.005,N,N,Y
117,E21,false,ALHT Deer_87,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.175,true,1,40,,,,,,0.000,0.000,Y,Y,N
118,E22,false,ALHT Deer_87,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.073,0.000,Y,Y,Y
119,E23,false,ALHT Deer_87,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
120,E24,false,ALHT Deer_87,Extraction Control,UNKNOWN,FAM,NFQ-MGB,26.586,26.586,,,,,true,0.073,true,1,40,,,,,,1.290,0.974,N,N,N
121,F1,false,4067,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.165,true,1,40,,,,,,0.000,0.000,Y,Y,N
122,F2,false,4067,B. microti,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.227,true,1,40,,,,,,0.000,0.000,Y,Y,N
123,F3,false,4067,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
124,F4,false,4067,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
125,F5,false,4067,B. miyamotoi,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.175,true,1,40,,,,,,0.000,0.000,Y,Y,N
126,F6,false,4067,E. muris,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
127,F7,false,4067,Powassan virus,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,Y,Y,Y
128,F8,false,4067,Extraction Control,UNKNOWN,FAM,NFQ-MGB,27.205,27.205,,,,,true,0.073,true,1,40,,,,,,1.111,0.980,N,N,N
129,F9,false,ALHT Deer_82,A. phagocytophilum,UNKNOWN,FAM,NFQ-MGB,22.151,22.151,,,,,true,0.165,true,1,40,,,,,,1.349,0.972,N,N,N
130,F10,false,ALHT Deer_82,B. microti,UNKNOWN,FAM,NFQ-MGB,18.576,18.576,,,,,true,0.227,true,1,40,,,,,,1.441,0.992,N,N,N
131,F11,false,ALHT Deer_82,B. burgdorferi,UNKNOWN,FAM,NFQ-MGB,28.656,28.656,,,,,true,0.040,true,1,40,,,,,,1.108,0.945,N,N,Y
132,F12,false,ALHT Deer_82,B. mayonii,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,true,0.040,true,1,40,,,,,,0.000,0.000,N,Y,Y
